Variedad,1995,1996,2000,2001,2004,2005,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,CVE_ENT
Agrio Mexicano,,,,,,,,,,,,,,,,,,,1,,,,,20
Criollo,,,,,,,,,,,,,,,16,1,1,,16,,5,,,20
limón colima,,,,,,,,,,,,,,,,,,,,,1,,,20
Limón mexicano,,,,,,,,,,,,,,,,,,,,,1,,,20
limón persa,,,,,,,,,,,,,,,,,,,,1,26,,,20
Persa,,,,,,,,,,,,,,,6,19,5,3,7,,10,1,2,20
Reyna,,,,,,,,,,,,2,,,,,,,,,,,,20
Se desconoce,,,,,,,,,,,1,,,,,,,,1,,1,,3,20
Valencia,,,25,,,12,,,3,,,,,5,12,,11,7,130,6,2,,,20
Valencia tardias,,,,1,,,,,,,,,,,,,,,,,,,,20

