id,latitude,longitude
1,21.90023,-100.12345
2,22.14012,-99.95034
3,21.78056,-100.05089
4,22.01067,-100.20012
5,21.67045,-99.98023
6,22.05078,-100.10045
7,21.95034,-99.87056
8,22.12089,-100.23012
9,21.83045,-99.92034
10,21.99012,-100.00078
11,21.67089,-100.15023
12,22.05034,-99.94056
13,21.8809,-100.21045
14,22.20012,-99.96078
15,21.73045,-100.02034
16,22.14056,-100.18023
17,21.94089,-99.89012
18,22.02034,-100.05089
19,21.82045,-100.10012
20,22.10023,-99.97034
21,21.92078,-100.03045
22,21.76034,-99.95012
23,22.18045,-100.24089
24,21.69012,-99.98045
25,22.13034,-100.11012
26,21.86045,-99.94023
27,22.04012,-100.00034
28,21.78089,-100.22045
29,22.15045,-99.99012
30,21.91034,-100.06045
